customer,age,merchant,category,amount,fraud
'C1353776547','6','M857378720','es_hotelservices',49.0,0
'C1082594377','2','M980657600','es_sportsandtoys',88.2,0
'C1817318774','2','M980657600','es_sportsandtoys',106.29,0
'C257664421','4','M980657600','es_sportsandtoys',65.42,0
'C632643861','2','M480139044','es_health',234.82,0
'C2137381129','1','M480139044','es_health',380.78,0
'C345996643','2','M480139044','es_health',405.9,0
'C759236361','5','M980657600','es_sportsandtoys',62.55,0
'C1385354747','4','M980657600','es_sportsandtoys',154.69,0
'C74966273','2','M980657600','es_sportsandtoys',237.17,0
'C1259389151','3','M480139044','es_health',289.04,0
'C783189419','0','M980657600','es_sportsandtoys',17.17,0
'C1464489812','4','M980657600','es_sportsandtoys',42.92,0
'C2093963973','2','M480139044','es_health',261.14,0
'C645521146','3','M980657600','es_sportsandtoys',178.25,0
'C1850482225','4','M480139044','es_health',246.23,0
'C1338932459','2','M980657600','es_sportsandtoys',105.59,0
'C2007848056','1','M980657600','es_sportsandtoys',1.85,0
'C765155274','1','M732195782','es_travel',453.53,0
'C2027631548','2','M980657600','es_sportsandtoys',89.98,0
'C800272493','2','M732195782','es_travel',388.53,0
'C1175419672','2','M732195782','es_travel',339.49,0
'C538394574','2','M480139044','es_health',278.5,0
'C1687101094','2','M923029380','es_home',328.87,0
'C1509106340','4','M980657600','es_sportsandtoys',207.9,0
'C1734862058','4','M480139044','es_health',223.83,0
'C441400844','3','M480139044','es_health',232.74,0
'C1820624068','1','M480139044','es_health',263.99,0
'C688652575','2','M980657600','es_sportsandtoys',16.02,0
'C1897566795','3','M2122776122','es_home',238.44,0
'C715527139','1','M980657600','es_sportsandtoys',172.54,0
'C604267980','3','M1198415165','es_wellnessandbeauty',157.21,0
'C189483600','2','M980657600','es_sportsandtoys',35.68,0
'C284165615','3','M2080407379','es_travel',333.29,0
'C353418507','4','M480139044','es_health',224.76,0
'C5191822','1','M480139044','es_health',234.17,0
'C1415704373','3','M980657600','es_sportsandtoys',17.27,0
'C2093963973','2','M980657600','es_sportsandtoys',181.09,0
'C1653588482','2','M980657600','es_sportsandtoys',142.95,0
'C1962291095','2','M732195782','es_travel',991.43,0
'C2130894809','2','M480139044','es_health',306.89,0
'C611520731','4','M480139044','es_health',313.58,0
'C364273844','3','M480139044','es_health',245.28,0
'C360122873','2','M980657600','es_sportsandtoys',60.78,0
'C264950364','2','M480139044','es_health',255.83,0
'C71746980','1','M480139044','es_health',236.3,0
'C278484907','2','M980657600','es_sportsandtoys',53.92,0
'C2017390387','1','M980657600','es_sportsandtoys',52.25,0
'C2087229084','2','M980657600','es_sportsandtoys',23.91,0
'C964866248','4','M1198415165','es_wellnessandbeauty',172.7,0
'C115986226','2','M2122776122','es_home',291.45,0
'C1886871597','4','M980657600','es_sportsandtoys',90.13,0
'C34104097','1','M480139044','es_health',297.32,0
'C940412764','2','M980657600','es_sportsandtoys',205.12,0
'C1714895875','2','M980657600','es_sportsandtoys',41.49,0
'C230958403','2','M980657600','es_sportsandtoys',43.76,0
'C1360225709','5','M480139044','es_health',238.29,0
'C1233360048','2','M857378720','es_hotelservices',248.92,0
'C756645719','2','M1649169323','es_sportsandtoys',256.06,0
'C1259389151','3','M480139044','es_health',262.73,0
'C1685492470','2','M980657600','es_sportsandtoys',120.14,0
'C532292379','3','M732195782','es_travel',435.35,0
'C1142956269','4','M1198415165','es_wellnessandbeauty',159.51,0
'C2094120486','2','M480139044','es_health',307.27,0
'C1806256044','3','M857378720','es_hotelservices',38.52,0
'C910454738','4','M692898500','es_health',396.93,0
'C2079453894','3','M1741626453','es_sportsandtoys',246.1,0
'C1269217373','2','M2080407379','es_travel',1342.08,0
'C1148635270','3','M480139044','es_health',294.95,0
'C445134555','0','M480139044','es_health',222.84,0
'C758426828','2','M480139044','es_health',253.23,0
'C1708403061','1','M980657600','es_sportsandtoys',6.76,0
'C399061526','2','M480139044','es_health',239.81,0
'C2118328869','2','M1888755466','es_otherservices',298.81,0
'C1575599226','4','M480139044','es_health',282.41,0
'C1148635270','3','M980657600','es_sportsandtoys',126.44,0
'C2096367617','2','M1873032707','es_hotelservices',175.76,0
'C2082187659','2','M923029380','es_home',247.0,0
'C1496334304','2','M840466850','es_tech',316.94,0
'C1338572942','2','M480139044','es_health',267.67,0
'C399875163','2','M1353266412','es_hotelservices',194.56,0
'C553121592','3','M980657600','es_sportsandtoys',95.31,0
'C130979586','2','M980657600','es_sportsandtoys',94.39,0
'C715527139','1','M980657600','es_sportsandtoys',51.41,0
